name,code,percentage
국립세종도서관,50001,39.59659257808676
평택시립배다리도서관,141598,57.86560247167868
부산도서관,141593,62.623260840199926
미추홀도서관,126157,51.06702735196874
장기도서관,121008,62.055335968379445
울산도서관,131080,54.808161671385335
부산광역시립시민도서관,147168,66.33733239237827
한라도서관,141135,61.52723735408561
광주광역시립무등도서관,146126,61.9360436291522
전라남도립도서관,141057,63.094047023511756
경기평생교육학습관,126024,60.76992403759496
광주시립중앙도서관,149023,48.80843859877588
군포시중앙도서관,124003,56.26005361930295
경북도서관,141139,60.08466475488188
안양시립석수도서관,111037,54.40602342442833
부산광역시립해운대도서관,141077,54.01792063717821
강북문화정보도서관,123001,22.13905282855909
고양시립대화도서관,126143,60.602113185699814
중봉도서관,121012,60.3599516031458
제천시립도서관,141114,54.894828404238496
수지도서관,127072,56.562248995983936
부산광역시 연제도서관,141591,63.22138897945876
수성구립범어도서관,141055,62.040547222680075
성남시 중앙도서관,141069,54.58905242268893
부산광역시립중앙도서관,142020,58.53288364249578
춘천교육문화관,141158,60.66439522998296
경기중앙교육도서관,123006,59.91792065663475
춘천시립도서관,141141,47.25992097577736
인천광역시교육청중앙도서관,121018,59.57631533252301
오산시 중앙도서관,127085,63.05869682283253
부산광역시 금정도서관,125003,58.571685554955934
고양시립마두도서관,141052,58.45959595959596
용인중앙도서관,142015,61.49954832881662
고촌도서관,122001,58.55823220431081
한밭도서관,144011,63.353358820316764
부산광역시립부전도서관,141036,63.85431918008785
기흥도서관,122007,60.323588895017465
성남시 분당도서관,141079,48.60675401365565
대구2.28기념학생도서관,121003,60.439763488543974
대구광역시립수성도서관,143015,41.465242645681094
원주시립중앙도서관,121005,56.02624179943767
수성구립고산도서관,130028,61.675746759346225
부산광역시립구포도서관,141038,56.20286576168929
아산시 중앙도서관,142021,43.13013567743169
중랑구립정보도서관,141541,58.89882161722877
세종평생교육학습관,141239,48.915961181086104
월평도서관,144174,52.58989726027398
안양시립평촌도서관,142014,54.565217391304344
흥덕도서관,111034,51.00524475524476
원주교육문화관,141010,46.74103237095363
